"key","nb","en","tr"
"texts.ops.note","Tallene gjelder faktiske henvendelser. Testdata er holdt utenfor.","These figures cover real requests. Test data is excluded.","Bu sayılar gerçek talepleri kapsar. Deneme verileri dahil değildir."
"texts.ops.occupied","Tiden er bestilt og kan ikke fjernes.","This slot is booked and cannot be removed.","Bu saat dolu olduğu için kaldırılamaz."
"texts.ops.recipient","Hvem følger opp?","Who follows up?","Kim takip edecek?"
"texts.ops.recipientNote","Henvendelsen blir tilgjengelig for NAVIAR CARE-administratoren. En innsendt melding er ikke en bekreftet avtale.","Your enquiry is available to the NAVIAR CARE administrator. Submitting a message does not confirm an appointment.","Mesajınız NAVIAR CARE yöneticisinin ekranına kaydedilir. Mesaj göndermek, randevunun onaylandığı anlamına gelmez."
"texts.ops.requests","Bestillinger siste 30 dager","Bookings created in the past 30 days","Son 30 günde oluşturulan rezervasyonlar"
"texts.ops.reserved","Bestilt","Booked","Dolu"
"texts.ops.retrySlots","Hent ledige tider på nytt","Reload available times","Uygun saatleri yeniden yükle"
"texts.ops.save","Lagre status","Save status","Durumu kaydet"
"texts.ops.slotClosed","Den ledige tiden er fjernet.","The available slot was removed.","Boş saat kaldırıldı."
"texts.ops.stale","Noen har endret denne henvendelsen. Last den inn på nytt før du lagrer.","Someone changed this enquiry. Reload it before saving.","Bu mesaj başka bir işlemde değiştirildi. Kaydetmeden önce yeniden yükleyin."
"texts.ops.statusSaved","Status er lagret.","Status saved.","Durum kaydedildi."
"texts.ops.steps.0","Hjelp","Help","Yardım"
"texts.ops.steps.1","Tid","Time","Saat"
"texts.ops.steps.2","Bekreft","Confirm","Onay"
"texts.ops.title","Arbeidsoversikt","Work overview","İş takibi"
"texts.pay","Se tilbud og betaling","View offer and payment","Teklif ve ödemeyi görüntüle"
"texts.paymentOff","Ingen betaling er åpnet. Pris og betalingskonto må være bekreftet først.","Payment is not open. A price and payment account must be confirmed first.","Ödeme açık değil. Önce ücret ve ödeme hesabı doğrulanmalı."
"texts.paymentOffer","Avtalt totalpris","Agreed total price","Anlaşılan toplam ücret"
"texts.paymentPaid","Betalingen er bekreftet av betalingsleverandøren.","Payment has been confirmed by the payment provider.","Ödeme, ödeme sağlayıcısı tarafından doğrulandı."
"texts.paymentPending","Betaling er ikke bekreftet.","Payment has not been confirmed.","Ödeme henüz doğrulanmadı."
"texts.paymentTerms","Jeg har lest tilbudet og vilkårene og ønsker å gå videre til betaling.","I have read the offer and terms and want to continue to payment.","Teklifi ve koşulları okudum, ödeme adımına geçmek istiyorum."
"texts.preferences","Analysevalg","Analytics choices","Analiz tercihleri"
"texts.priceText","Prisene for hjemmebesøk er ikke fastsatt. Du skal få en samlet pris og tydelige vilkår før du tar stilling til et tilbud. Ingen betaling trekkes når du utforsker denne siden.","Prices for home visits have not been set. You should receive a total price and clear terms before deciding on an offer. No payment is taken while exploring this site.","Ev ziyareti ücretleri henüz belirlenmedi. Bir teklife karar vermeden önce toplam ücret ve koşullar size sunulmalı. Bu sayfayı incelerken ödeme alınmaz."
"texts.priceTitle","Hva vil hjelpen koste?","What will support cost?","Destek ücreti ne olacak?"
"texts.primary","Se hvilken hjelp som passer","Find the support that fits","Size uygun desteği keşfedin"
"texts.privacy","Personvern","Privacy","Gizlilik"
"texts.privacyBody.0","Denne siden er under utvikling. Ansvarlig virksomhet, tjenesteområde og kontaktpunkt for personvern må bekreftes før offentlig åpning.","This site is under development. The operating business, service area and privacy contact must be confirmed before public launch.","Bu sayfa geliştirme aşamasındadır. Kamuya açılmadan önce sorumlu işletme, hizmet bölgesi ve gizlilik iletişim noktası doğrulanmalı."
"texts.privacyBody.1","I forhåndsvisningen lagres testbestillinger og testmeldinger for å prøve arbeidsflyten. Bruk oppdiktede opplysninger. Innlogging brukes til å beskytte dine registreringer.","The preview stores test bookings and test messages to try the workflow. Use made-up details. Sign-in protects your records.","Önizleme, iş akışını denemek için test rezervasyonlarını ve mesajlarını saklar. Uydurma bilgiler kullanın. Giriş, kayıtlarınızı korumak içindir."
"texts.privacyBody.2","En samtale lagrer tjenestevalg, tid, navn, e-post, språk og om du spør for deg selv eller som pårørende. Vi ber ikke om helseopplysninger eller den andres navn.","A call record stores the selected service, time, name, email, language and whether you are enquiring for yourself or as a family member. We do not ask for health information or the other person’s name.","Görüşme kaydında seçilen hizmet, saat, ad, e-posta, dil ve kendiniz ya da bir yakınınız için başvurduğunuz bilgisi saklanır. Sağlık bilgisi veya diğer kişinin adı istenmez."
"texts.privacyBody.3","Valgfri analyse teller innholdsvisninger og engasjement. Det sendes ikke navn, e-post, skjematekst eller personlige nettadresser til denne analysen. Du kan avslå eller endre valget når som helst.","Optional analytics count content views and engagement. Names, emails, form text and personal URLs are not sent to these analytics. You can decline or change your choice at any time.","İsteğe bağlı analiz, içerik görüntülemelerini ve ilgiyi sayar. Ad, e-posta, form metni ve kişisel bağlantılar analize gönderilmez. Tercihinizi istediğiniz zaman reddedebilir veya değiştirebilirsiniz."
"texts.privacyBody.4","Analysehendelser oppbevares i inntil 90 dager når vedlikeholdsrutinen kjøres. Testbestillinger og testmeldinger skal slettes før offentlig lansering. Produksjonens lagringstider og rettighetsrutiner skal fastsettes før åpning.","Analytics events are retained for up to 90 days when the maintenance routine runs. Test bookings and messages must be removed before public launch. Production retention and rights processes must be agreed before opening.","Bakım işlemi çalıştığında analiz olayları en fazla 90 gün tutulur. Test rezervasyonları ve mesajları kamuya açılmadan önce silinmeli. Gerçek hizmetin saklama süreleri ve hak başvurusu süreçleri açılıştan önce belirlenmeli."
"texts.privacyBody.5","Fremtidige betalinger skal håndteres av Stripe, og transaksjonsmeldinger av Resend når avtalene er på plass. Vertstjenesten og innloggingen kan behandle tekniske besøksdata. Deling med pårørende krever separat avklaring.","Future payments will be handled by Stripe and transactional messages by Resend once agreements are in place. Hosting and sign-in providers may process technical visit data. Sharing with family requires a separate agreement.","Anlaşmalar tamamlandığında ödemeler Stripe, işlem e-postaları Resend ile yürütülecek. Barındırma ve giriş sağlayıcıları teknik ziyaret verilerini işleyebilir. Yakınlarla paylaşım ayrıca kararlaştırılır."
"texts.privacyBody.6","Hvis du tillater analyse, teller vi også klikk fra innhold til samtale, veiviser og kontakt. Vi følger deg ikke videre til private sider.","If you allow analytics, we also count clicks from content to booking, the guide and contact. We do not follow you into private pages.","Analize izin verirseniz içerikten görüşme, rehber ve iletişime tıklamaları da sayarız. Özel sayfalarda gezinmenizi takip etmeyiz."
"texts.processIntro","Du trenger ikke ha alle svarene før vi snakker sammen.","You do not need all the answers before we talk.","Görüşmeden önce her sorunun cevabını bilmeniz gerekmiyor."
"texts.processTitle","Først bli kjent.<br>Så finne formen.","First, get to know you.<br>Then, find the right rhythm.","Önce tanışalım.<br>Sonra size uygun yolu bulalım."
"texts.recommend","Basert på det du valgte","Based on your choice","Seçiminize göre"
"texts.recommendText","Et forslag ut fra tjenesten du selv valgte. Vi bruker ikke helseopplysninger eller skjult profilering.","A suggestion based on the service you selected. We do not use health information or hidden profiling.","Kendi seçtiğiniz hizmete dayanan bir öneri. Sağlık bilgisi veya gizli profilleme kullanmıyoruz."
"texts.reference","Referanse","Reference","Referans"
"texts.relative","En jeg er pårørende til","Someone in my family","Bir yakınım için"
"texts.required","Fyll ut de nødvendige feltene.","Complete the required fields.","Gerekli alanları doldurun."
"texts.retryMail","Prøv ventende e-post på nytt","Retry pending email","Bekleyen e-postaları yeniden dene"
"texts.review","Se over før du bekrefter","Review before confirming","Onaylamadan önce kontrol edin"
"texts.save","Lagre","Save","Kaydet"
"texts.scope","Tilbudet gjelder praktisk og sosial støtte. Det omfatter ikke medisinsk behandling, medisinering eller personlig pleie.","The service concerns practical and social support. It does not include medical treatment, medication management or personal care.","Konsept gündelik ve sosyal desteği kapsar. Tıbbi tedavi, ilaç yönetimi ve kişisel bakım içermez."
"texts.secondary","Jeg er pårørende","I am a family member","Bir yakınım için bakıyorum"
"texts.section","Innhold","Content","İçerik"
"texts.selectService","Hva ønsker du hjelp med?","What would you like help with?","Ne için yardım istiyorsunuz?"
"texts.self","Meg selv","Myself","Kendim için"
"texts.send","Send melding","Send message","Mesaj gönder"
"texts.sent","Meldingen er registrert.","Your message has been registered.","Mesajınız kaydedildi."
"texts.sentDemo","Testmeldingen er lagret. Ingen e-post er sendt.","Your test message is saved. No email has been sent.","Test mesajınız kaydedildi. E-posta gönderilmedi."
"texts.services.0.0","Praktisk hjelp","Practical help","Gündelik yardım"
"texts.services.0.1","Handling, små ærender og enkle oppgaver hjemme. Vi avtaler hva besøket skal omfatte.","Shopping, small errands and simple tasks at home. We agree what the visit will include.","Alışveriş, küçük işler ve evde basit görevler. Ziyaretin kapsamını birlikte belirleriz."
"texts.services.0.2","Snakk om praktisk hjelp","Discuss practical help","Gündelik yardımı keşfedin"
"texts.services.1.0","En å gå sammen med","Someone to walk with","Birlikte yürüyelim"
"texts.services.1.1","En rolig tur, en aktivitet eller et ærend i nærheten. Vi tar utgangspunkt i ditt tempo.","A gentle walk, a local activity or an errand nearby. We start with your pace.","Sakin bir yürüyüş, yakınlarda bir etkinlik veya küçük bir iş. Sizin temponuzdan başlarız."
"texts.services.1.2","Snakk om følge","Discuss accompaniment","Eşlik desteğini keşfedin"
"texts.services.2.0","Tid til en prat","Time for a conversation","Sohbete zaman"
"texts.services.2.1","En kopp kaffe, et spill eller en samtale. Tid sammen, med plass til det du liker.","A cup of coffee, a game or a conversation. Time together, with room for what you enjoy.","Bir kahve, bir oyun veya bir sohbet. Sevdiğiniz şeylere yer açan birlikte zaman."
"texts.services.2.2","Snakk om samvær","Discuss companionship","Sosyal desteği keşfedin"
"texts.servicesIntro","Begynn med det som er viktig for deg. Oppgaver, tidspunkt og pris skal være avklart før et besøk.","Start with what matters to you. Tasks, timing and price should be clear before a visit.","Sizin için önemli olandan başlayalım. Yapılacak işler, zaman ve ücret ziyaretten önce belli olmalı."
"texts.servicesTitle","Hva vil gjøre<br>dagen din litt enklere?","What would make<br>your day a little easier?","Gününüzü ne<br>biraz kolaylaştırır?"
"texts.signIn","Logg inn for å fortsette","Sign in to continue","Devam etmek için giriş yapın"
"texts.signinText","Logg inn for å administrere dine egne samtaler. Du får ikke tilgang til andres opplysninger.","Sign in to manage your own calls. You cannot access other people’s information.","Kendi görüşmelerinizi yönetmek için giriş yapın. Başkalarının bilgilerine erişemezsiniz."
"texts.skip","Hopp til innhold","Skip to content","İçeriğe geç"
"texts.slots","Velg en ledig tid","Choose an available time","Uygun bir saat seçin"
"texts.start","Start i norsk tid","Start in Norwegian time","Norveç saatine göre başlangıç"
"texts.status","Status","Status","Durum"
"texts.steps.0.0","Fortell hva du ønsker","Tell us what you would like","Ne istediğinizi anlatın"
"texts.steps.0.1","Velg hjelp og en tid for en første samtale. Ingen hjemmebesøk bestilles i dette steget.","Choose support and a time for an introductory call. No home visit is booked at this step.","Destek türünü ve ilk görüşme saatini seçin. Bu adımda ev ziyareti ayarlanmaz."
"texts.steps.1.0","Avklar det sammen","Agree the details together","Ayrıntıları birlikte belirleyin"
"texts.steps.1.1","Område, oppgaver, pris, tidspunkt og hvem som kommer må være avklart.","Area, tasks, price, timing and who will visit need to be agreed.","Bölge, görevler, ücret, saat ve gelecek kişi netleşmeli."
"texts.steps.2.0","Finn en rytme som passer","Find a rhythm that suits you","Size uygun düzeni bulun"
"texts.steps.2.1","Etter et første besøk følger vi opp. Du skal kunne si fra om hva du ønsker annerledes.","After a first visit we follow up. You should be able to tell us what you would like to change.","İlk ziyaretin ardından deneyiminizi sorarız. Değişmesini istediğiniz şeyleri söyleyebilmelisiniz."
"texts.strip.0","Praktisk hjelp","Practical help","Gündelik yardım"
"texts.strip.1","Følge i nærmiljøet","Company nearby","Yakın çevrede eşlik"
"texts.strip.2","Tid til samvær","Time together","Birlikte zaman"
"texts.studio.beforeIntro","Du velger hva som passer. Et hjemmebesøk må avtales særskilt.","You choose what suits you. A home visit needs a separate agreement.","Size uygun olanı siz seçersiniz. Ev ziyareti ayrıca kararlaştırılmalıdır."
"texts.studio.beforeTitle","Dette bør du vite først","A few things to know first","Başlamadan önce bilmeniz gerekenler"
"texts.studio.demoBook","Prøv samtalebestilling","Try call booking","Görüşme rezervasyonunu dene"
"texts.studio.demoChoose","Prøv med denne hjelpen","Try with this support","Bu destekle dene"
"texts.studio.demoConfirm","Bekreft testbestillingen","Confirm test booking","Test rezervasyonunu onayla"
"texts.studio.demoNext","Testen viser bare bestillingsflyten. Ingen ringer deg, og ingen hjelper kommer hjem til deg.","This test only demonstrates booking. Nobody will call you or visit your home.","Bu test yalnızca rezervasyon akışını gösterir. Kimse sizi aramayacak veya evinize gelmeyecek."
"texts.studio.detailItems.0.examples.0","Handle fra en avtalt liste","Shop from an agreed list","Kararlaştırılan listeden alışveriş"
"texts.studio.detailItems.0.examples.1","Små ærender i nærheten","Run small local errands","Yakın çevrede küçük işler"
"texts.studio.detailItems.0.examples.2","Enkle oppgaver som avtales på forhånd","Do simple tasks agreed in advance","Önceden kararlaştırılan basit görevler"
"texts.studio.detailItems.0.excluded","Tunge løft, fagarbeid, personlig stell og tilgang til bankkonto inngår ikke.","Heavy lifting, specialist trade work, personal care and bank account access are outside the scope.","Ağır kaldırma, uzmanlık gerektiren tamirat, kişisel bakım ve banka hesabına erişim kapsam dışıdır."
"texts.studio.detailItems.1.examples.0","Gå en tur i ditt tempo","Walk at your own pace","Kendi temponuzda yürüyüş"
"texts.studio.detailItems.1.examples.1","Gå sammen til en butikk","Go to a shop together","Birlikte mağazaya gitme"
"texts.studio.detailItems.1.examples.2","Ha følge til en avtalt aktivitet","Have company at an agreed activity","Kararlaştırılan bir etkinliğe eşlik"
"texts.studio.detailItems.1.excluded","Transport med bil, løft og medisinsk oppfølging inngår ikke.","Car transport, lifting and medical follow-up are outside the scope.","Arabayla taşıma, kaldırma ve tıbbi takip kapsam dışıdır."
"texts.studio.detailItems.2.examples.0","Ta en kaffe og prate","Have a coffee and a chat","Kahve içip sohbet etme"
"texts.studio.detailItems.2.examples.1","Spille et spill eller lese sammen","Play a game or read together","Birlikte oyun oynama veya okuma"
"texts.studio.detailItems.2.examples.2","Gjøre noe du selv liker","Do something you enjoy","Sevdiğiniz bir etkinliği yapma"
"texts.studio.detailItems.2.excluded","Behandling, tilsyn med medisinsk ansvar og hjelp med medisiner inngår ikke.","Treatment, supervision with medical responsibility and help with medication are outside the scope.","Tedavi, tıbbi sorumluluk gerektiren gözetim ve ilaç desteği kapsam dışıdır."
"texts.studio.details","Hva kan hjelpen omfatte?","What could the support include?","Bu destek neleri kapsayabilir?"
"texts.studio.facts.0.0","Første steg","First step","İlk adım"
"texts.studio.facts.0.1","En samtale om hva du ønsker hjelp til.","A call about the support you would like.","İstediğiniz destek hakkında bir görüşme."
"texts.studio.facts.1.0","Pris","Price","Ücret"
"texts.studio.facts.1.1","Hjemmebesøk er ikke priset ennå. Du skal få et samlet tilbud før du bestemmer deg.","Home visits are not priced yet. You should receive a total offer before you decide.","Ev ziyareti ücretleri henüz belirlenmedi. Karar vermeden önce toplam teklif size sunulmalı."
"texts.studio.facts.2.0","Sted","Location","Bölge"
"texts.studio.facts.2.1","Tjenesteområdet er ikke bekreftet ennå.","The service area is not confirmed yet.","Hizmet bölgesi henüz doğrulanmadı."
"texts.studio.includes","Dette kan vi avtale","What we can agree on","Birlikte kararlaştırabileceklerimiz"
"texts.studio.limits","Dette inngår ikke","What is outside the scope","Kapsam dışında olanlar"
"texts.studio.liveNext","Samtaletiden bekrefter en innledende samtale. Et besøk, oppgaver og pris må avtales separat.","The time confirms an introductory call. A visit, tasks and price need a separate agreement.","Seçilen saat bir ön görüşmeyi onaylar. Ziyaret, görevler ve ücret ayrıca kararlaştırılmalıdır."
"texts.studio.noSlotsAction","Gå til kontakt","Go to contact","İletişime git"
"texts.studio.priceChecklist.0","Hvilke oppgaver som er avtalt","The tasks you have agreed on","Kararlaştırılan görevler"
"texts.studio.priceChecklist.1","Hvem som kommer, dato og varighet","Who will come, the date and duration","Gelecek kişi, tarih ve süre"
"texts.studio.priceChecklist.2","Samlet pris i NOK, med eventuelle tillegg","The total price in NOK, including any extras","Ek ücretler dahil NOK cinsinden toplam fiyat"
"texts.studio.priceChecklist.3","Hvordan du endrer, avbestiller eller ber om hjelp","How to change, cancel or ask for help","Değişiklik, iptal ve yardım isteme yolu"
"texts.studio.priceHeading","Før du sier ja til et besøk","Before you agree to a visit","Bir ziyareti kabul etmeden önce"
"texts.studio.priceNav","Pris og område","Price and location","Ücret ve bölge"
"texts.studio.resetGuide","Start på nytt","Start again","Yeniden başla"
"texts.terms","Vilkår","Terms","Koşullar"
"texts.termsBody.0","NAVIAR CARE er under utvikling. Forhåndsvisningen tilbyr ikke faktiske hjemmebesøk. Testbestillinger er ikke serviceavtaler.","NAVIAR CARE is under development. This preview does not offer real home visits. Test bookings are not service agreements.","NAVIAR CARE geliştirme aşamasındadır. Bu önizleme gerçek ev ziyareti sunmaz. Test rezervasyonları hizmet sözleşmesi değildir."
"texts.termsBody.1","En første samtale avklarer ønsker og om tilbudet passer. Den innebærer ingen bestilling av hjemmebesøk.","An introductory call clarifies your wishes and whether the service is suitable. It does not book a home visit.","İlk görüşme beklentileri ve hizmetin uygunluğunu netleştirir. Ev ziyareti rezervasyonu oluşturmaz."
"texts.termsBody.2","Oppgaver, tjenesteområde, ansvarlig leverandør, pris, eventuell avgift og vilkår for endring skal oppgis før en betalt avtale inngås.","Tasks, service area, responsible provider, price, any tax and change terms must be stated before a paid agreement is made.","Ücretli anlaşmadan önce görevler, hizmet bölgesi, sorumlu sağlayıcı, ücret, varsa vergi ve değişiklik koşulları açıklanmalı."
"texts.termsBody.3","Du kan avbestille en ubetalt samtale i Mine samtaler. En avtale med betaling må behandles manuelt, slik at tilbakebetaling og vilkår vurderes før endring.","You can cancel an unpaid call under My calls. An agreement involving payment requires manual handling so refunds and terms can be reviewed before changes.","Ödenmemiş görüşmeyi Görüşmelerim bölümünden iptal edebilirsiniz. Ödeme içeren anlaşmalar, iade ve koşullar değerlendirilerek manuel işleme alınmalıdır."
"texts.termsBody.4","Tjenesten gjelder praktisk og sosial støtte. Helsehjelp, medisinering, personlig pleie og tilgang til BankID eller bankkonto inngår ikke.","The service concerns practical and social support. Healthcare, medication management, personal care, and access to BankID or bank accounts are excluded.","Hizmet gündelik ve sosyal destektir. Sağlık hizmeti, ilaç yönetimi, kişisel bakım, BankID veya banka hesabına erişim kapsam dışıdır."
"texts.termsBody.5","Disse tekstene er foreløpige rammer. Fullstendige kjøpsvilkår, klageordning og kontaktinformasjon må være fastsatt før kommersiell lansering.","These are preliminary terms. Complete purchase terms, complaints procedures and contact information must be established before commercial launch.","Bu metinler başlangıç çerçevesidir. Ticari açılıştan önce tam satış koşulları, şikâyet süreci ve iletişim bilgileri tamamlanmalı."
"texts.testNote","Dette er en test. Bruk et oppdiktet navn og en e-post som slutter på .test eller .invalid. Ingen e-post sendes og ingen penger trekkes.","This is a test. Use a made-up name and an email ending in .test or .invalid. No email is sent and no money is charged.","Bu bir testtir. Uydurma bir ad ve .test veya .invalid ile biten e-posta kullanın. E-posta gönderilmez ve ödeme alınmaz."
"texts.topic","Tema","Topic","Konu"
"texts.topics.0","Spørsmål om hjelp","A question about support","Destek hakkında soru"
"texts.topics.1","Bli hjelper","Become a helper","Yardımcı olmak istiyorum"
"texts.topics.2","Endre eller avbestille","Change or cancel","Değişiklik veya iptal"
"texts.topics.3","Tilbakemelding","Feedback","Geri bildirim"
"texts.total","Totalpris i NOK","Total price in NOK","Toplam ücret (NOK)"
"texts.trust.0.0","Du bestemmer","You decide","Siz karar verirsiniz"
"texts.trust.0.1","Vi avklarer hva du ønsker hjelp med, og hvem du vil involvere.","We clarify the help you want and whom you want involved.","İstediğiniz yardımı ve sürece kimlerin katılacağını netleştiririz."
"texts.trust.1.0","Du vet hva som er avtalt","You know what is agreed","Anlaşmayı bilirsiniz"
"texts.trust.1.1","Hvem som kommer, pris og innhold skal være tydelig før besøket.","Who is coming, the price and the tasks should be clear before a visit.","Gelecek kişi, ücret ve yapılacak işler ziyaretten önce belli olmalı."
"texts.trust.2.0","Du har en kontaktvei","You have a contact point","Bir iletişim noktanız olur"
"texts.trust.2.1","Endringer, forsinkelser og tilbakemeldinger skal ha en ansvarlig mottaker.","Changes, delays and feedback need a responsible person to follow them up.","Değişiklikleri, gecikmeleri ve geri bildirimleri takip eden sorumlu biri olmalı."
"texts.trustTitle","Tydelige rammer.<br>Før noen ringer på.","Clear expectations.<br>Before anyone knocks.","Açık bir anlaşma.<br>Kapı çalmadan önce."
"texts.unavailable","Tjenesten er ikke tilgjengelig akkurat nå. Prøv igjen senere.","The service is unavailable right now. Please try again later.","Hizmete şu anda erişilemiyor. Lütfen daha sonra tekrar deneyin."
"texts.views","Visninger","Views","Görüntüleme"
"texts.who","Hvem gjelder samtalen?","Who is the call for?","Görüşme kimin için?"
