"key","nb","en","tr"
"moneyRules","Del aldri BankID, PIN-kode eller bankkort med en hjelper. Ekstra arbeid og pris må avtales før arbeidet starter.","Never share identity credentials, a PIN or your bank card with a helper. Agree on extra work and prices before work starts.","Kimlik doğrulama şifrenizi, PIN kodunuzu veya banka kartınızı yardımcıyla paylaşmayın. Ek iş ve ücretler önceden kararlaştırılmalıdır."
"helperTitle","Gi litt tid. Hjelp noen i nærheten.","Give a little time. Help someone nearby.","Biraz zaman ayırın. Yakınınızdaki birine destek olun."
"helperIntro","Velg oppgavene du kan gjøre. En søknad gjør deg ikke klar for oppdrag.","Choose the tasks you can do. Applying does not make you eligible for visits.","Yapabileceğiniz işleri seçin. Başvuru yapmak, göreve hazır olduğunuz anlamına gelmez."
"over18","Jeg er minst 18 år","I am at least 18","En az 18 yaşındayım"
"apply","Lagre testsøknad","Save test application","Test başvurusunu kaydet"
"applicationSaved","Testsøknaden er lagret. Kontrollene er ikke gjennomført.","Test application saved. Verification checks have not been completed.","Test başvurusu kaydedildi. Doğrulama kontrolleri tamamlanmadı."
"helperSteps","Søknad → kontaktkontroll → ID → referanser → opplæring → vurdering av oppgavene du kan ta.","Application → contact check → identity → references → training → task assessment.","Başvuru → iletişim kontrolü → kimlik → referanslar → eğitim → iş uygunluğu değerlendirmesi."
"jobsTitle","Oppdragstavla","Available tasks","Görev panosu"
"noJobs","Det finnes ingen godkjente oppdrag i prøveversjonen. En søknad eller tilgjengelighetsbryter gir ikke tilgang til private adresser.","There are no approved visits in this review version. An application or availability switch does not grant access to private addresses.","İnceleme sürümünde onaylanmış görev yok. Başvuru veya müsaitlik seçimi, özel adreslere erişim sağlamaz."
"analyticsTitle","Hva hjelper folk videre?","What helps people take the next step?","İnsanların sonraki adımını ne kolaylaştırır?"
"analyticsIntro","Besøkstid og scrolling viser ikke at noen har forstått en tekst.","Time on a page and scrolling do not prove someone understood the text.","Sayfada geçirilen süre ve kaydırma, metnin anlaşıldığını kanıtlamaz."
"consentTitle","Vil du hjelpe oss å forbedre siden?","Help us improve the site?","Siteyi geliştirmemize yardımcı olur musunuz?"
"consentBody","Med ditt valg kan vi telle sidevisninger og bruk av innhold. Skjematekst, helseopplysninger og GPS inngår ikke. Du kan ombestemme deg her.","With your choice, we can count page views and content engagement. Form text, health information and GPS are excluded. You can change your mind here.","İzin verirseniz sayfa görüntüleme ve içerik etkileşimlerini sayabiliriz. Form metni, sağlık bilgisi ve GPS dahil edilmez. Tercihinizi buradan değiştirebilirsiniz."
"acceptAnalytics","Tillat analyse","Allow analytics","Analize izin ver"
"rejectAnalytics","Bare nødvendig","Necessary only","Yalnızca gerekli"
"analyticsSaved","Valget er lagret.","Choice saved.","Tercih kaydedildi."
"noForecast","Ingen prognose ennå","No forecast yet","Henüz tahmin yok"
"forecastBody","Vi trenger reelle oppdrag over tid før vi vurderer etterspørselen. Testdata brukes ikke til bemanning.","We need real visits over time before assessing demand. Test data is not used for staffing.","Talebi değerlendirmek için zaman içinde gerçek iş verileri gerekir. Test verileri personel planlamasında kullanılmaz."
"nextRead","Nyttig før du bestiller","Useful before requesting help","Talep öncesinde yararlı bilgiler"
"recommendationWhy","Basert på oppgaven du valgte. Ingen helseprofil brukes.","Based on the task you selected. No health profile is used.","Seçtiğiniz işe göre gösterilir. Sağlık profili kullanılmaz."
"privacyTitle","Dine opplysninger. Dine valg.","Your information. Your choices.","Bilgileriniz. Tercihleriniz."
"privacyIntro","Denne teksten beskriver prøveversjonen, oppdatert 5. september 2026. Bruk bare testopplysninger.","This text describes the review version, updated 5 September 2026. Use test details only.","Bu metin, 5 Eylül 2026 tarihinde güncellenen inceleme sürümünü açıklar. Yalnızca test bilgileri kullanın."
"dataUseTitle","Dette lagres","What is stored","Saklanan bilgiler"
"dataUse","Konto-ID, kontoens e-post, testnavn, postnummer, oppgave, ønsket tid og valg lagres for forespørselen. Vi ber ikke om diagnose eller full adresse.","Account ID, account email, test name, postcode, task, preferred time and choices are stored for your request. We do not ask for a diagnosis or full address.","Talebiniz için hesap kimliği, hesap e-postası, test adı, posta kodu, iş, zaman ve seçimler saklanır. Tanı veya açık adres sormayız."
"accessTitle","Hvem får se hva?","Who can see what?","Kim ne görebilir?"
"accessBody","Forespørslene vises til deg og autorisert drift. Deling med familie og hjelpere er ikke aktivert. Betaling åpner ingen ekstra tilgang.","Requests are visible to you and authorised operations staff. Sharing with families and helpers is not enabled. Paying does not unlock extra access.","Taleplerinizi siz ve yetkili operasyon sorumlusu görebilir. Aile ve yardımcı paylaşımı etkin değildir. Ödeme ek erişim açmaz."
"retentionTitle","Sletting og innsyn","Deletion and access","Silme ve erişim"
"retentionBody","Last ned eller slett testdata fra Min oversikt. Aktive betalings- og tvistesaker må vurderes manuelt. Analyse eldre enn 90 dager slettes ved vedlikehold.","Export or delete test data from My requests. Active payment and dispute records need manual review. Analytics older than 90 days are deleted during maintenance.","Test verilerini Taleplerim bölümünden indirin veya silin. Aktif ödeme ve uyuşmazlık kayıtları manuel değerlendirme gerektirir. 90 günden eski analizler bakımda silinir."
"launchPrivacy","Før offentlig drift må selskapsnavn, kontaktpunkt, leverandøravtaler, lagringssted, behandlingsgrunnlag og lagringstider bekreftes. Testen er ingen juridisk konformitetsvurdering.","Before public operation, the legal entity, contact point, provider agreements, storage locations, legal bases and retention periods must be confirmed. This test is not a legal compliance assessment.","Herkese açık kullanımdan önce şirket adı, iletişim noktası, sağlayıcı sözleşmeleri, saklama yerleri, işleme dayanakları ve saklama süreleri doğrulanmalıdır. Bu test hukuki uygunluk değerlendirmesi değildir."
"export","Last ned mine testdata","Export my test data","Test verilerimi indir"
"deleteData","Slett mine testdata","Delete my test data","Test verilerimi sil"
"deleteConfirm","Slette alle testopplysningene dine? Dette kan ikke angres.","Delete all your test details? This cannot be undone.","Tüm test bilgileri silinsin mi? Bu işlem geri alınamaz."
"deleted","Testopplysningene er slettet.","Test details deleted.","Test bilgileri silindi."
"contactBody","Kontaktordningen er ikke åpnet. Meldinger her er testregistreringer og overvåkes ikke som en hjelpetjeneste.","Support is not open. Messages here are test records and are not monitored as a support service.","Destek birimi henüz açık değil. Buradaki bildirimler test kaydıdır; yardım hizmeti olarak takip edilmez."
"termsBody","Du kan prøve en forespørsel uten å betale. Ingen tjenesteavtale inngås, og ingen hjelper bestilles. Priser, avbestillingsregler og leverandørvilkår må være klare før reell bestilling åpnes.","You can try a request without paying. No service contract is formed and no helper is booked. Prices, cancellation rules and provider terms must be ready before real bookings open.","Ödeme yapmadan talep akışını deneyebilirsiniz. Hizmet sözleşmesi kurulmaz ve yardımcı rezerve edilmez. Gerçek rezervasyon açılmadan önce fiyatlar, iptal kuralları ve sağlayıcı koşulları kesinleşmelidir."
"operatorOnly","Denne siden krever tilgang som driftsansvarlig.","This page requires operations access.","Bu sayfa operasyon sorumlusu erişimi gerektirir."
"integrationStatus","Systemstatus","System status","Sistem durumu"
"testMode","Testmodus","Test mode","Test modu"
"enabled","Koblet til","Connected","Bağlı"
"unconfigured","Ikke aktivert","Not enabled","Etkin değil"
"requestsCount","Testforespørsler","Test requests","Test talepleri"
"eventsCount","Analysehendelser med samtykke","Consented analytics events","İzinli analiz olayları"
"openCases","Åpne saker","Open cases","Açık kayıtlar"
"operationsBody","Arbeidslisten viser bare data du har rett til å se. Testen har ingen bemannet vaktordning.","The worklist shows only data you are authorised to see. This test has no staffed on-call service.","İş listesi yalnızca görme yetkiniz olan verileri gösterir. Testte görevli nöbet ekibi yoktur."
"opsNoShow","Registrer hendelsen. Kontakt partene og avklar ny tid eller avbestilling. Ikke marker besøket som utført. Ansvar: driftskoordinator.","Record the incident. Contact both parties and agree on a new time or cancellation. Do not mark it complete. Owner: operations coordinator.","Olayı kaydedin. Taraflarla görüşerek yeni zaman veya iptal belirleyin. Tamamlandı olarak işaretlemeyin. Sorumlu: operasyon koordinatörü."
"opsDoor","Besøket starter ikke. Følg kontaktplanen. Ikke gå inn uten tillatelse. Ved konkret fare: nødetatene. Ansvar: vakthavende.","Do not start the visit. Follow the contact plan. Do not enter without permission. For immediate danger, contact emergency services. Owner: duty coordinator.","Ziyareti başlatmayın. İletişim planını izleyin. İzinsiz içeri girmeyin. Somut tehlikede acil yardım çağırın. Sorumlu: nöbet sorumlusu."
"opsExtra","Stans ekstraarbeidet. Avklar oppgave, kompetanse, tid og pris. Be om nytt samtykke. Ansvar: driftskoordinator.","Pause extra work. Agree on the task, skills, time and price. Obtain fresh approval. Owner: operations coordinator.","Ek işi durdurun. İş, yetkinlik, süre ve fiyatı netleştirin. Yeniden onay alın. Sorumlu: operasyon koordinatörü."
"opsPayment","Sperr videre belastning i saken og innhent begge forklaringer. Refusjon krever en dokumentert avgjørelse. Ansvar: betalingsansvarlig.","Block further charges on the case and collect both accounts. A refund needs a documented decision. Owner: payments lead.","Kayda ilişkin yeni tahsilatı durdurun ve iki tarafı dinleyin. İade için belgeli karar gerekir. Sorumlu: ödeme sorumlusu."
"allRequests","Forespørsler","Requests","Talepler"
"reason","Hendelse","Incident","Olay"
"owner","Ansvarlig","Owner","Sorumlu"
"status","Status","Status","Durum"
"amount","Beløp i NOK","Amount in NOK","NOK tutarı"
"quoteAction","Lag testtilbud","Create test quote","Test teklifi oluştur"
"noPriceAction","Et positivt beløp og mottakerens samtykke kreves.","A positive amount and recipient consent are required.","Pozitif tutar ve yardım alan kişinin onayı gerekir."
"helpersNone","Ingen hjelpere er godkjent for oppdrag.","No helpers have been approved for visits.","Henüz görev için onaylanmış yardımcı yok."
"mail","E-postvarsler","Email notifications","E-posta bildirimleri"
"payments","Betaling","Payments","Ödeme"
"savedSharing","Valget er lagret. Ingen nye personer får tilgang.","Choice saved. Nobody new gets access.","Tercih kaydedildi. Yeni kişilere erişim verilmez."
"save","Lagre","Save","Kaydet"
"testOnlyPayment","Betaling kan bare prøves med en konfigurert Stripe-testkonto. Ingen reelle trekk er tillatt i denne versjonen.","Checkout requires a configured Stripe test account. This version does not allow real charges.","Ödeme, yapılandırılmış Stripe test hesabı gerektirir. Bu sürüm gerçek tahsilata izin vermez."
"service.shopping.title","Handling og ærend","Shopping & errands","Alışveriş ve işler"
"service.shopping.body","Dagligvarer, post og små ærend i nærmiljøet.","Groceries, post and small errands nearby.","Market alışverişi, posta ve yakındaki küçük işler."
"service.company.title","En prat og en kaffe","Conversation & company","Sohbet ve arkadaşlık"
"service.company.body","Tid til en prat, høytlesing eller et kortspill.","Time for a chat, reading aloud or a card game.","Sohbet, sesli okuma veya kart oyunu için zaman."
"service.walk.title","Følge og turer","Outings & companionship","Yürüyüş ve eşlik"
"service.walk.body","Selskap på tur eller følge til en avtale.","Company for a walk or an appointment.","Yürüyüşte veya randevuya giderken eşlik."
"service.digital.title","Hjelp med mobil og nettbrett","Phone & tablet help","Telefon ve tablet desteği"
"service.digital.body","Videosamtaler, bilder og enkle innstillinger.","Video calls, photos and simple settings.","Görüntülü arama, fotoğraflar ve basit ayarlar."
"service.home.title","Små oppgaver hjemme","Small tasks at home","Evde küçük işler"
"service.home.body","Lett rydding, planter og avtalte småoppgaver.","Light tidying, plants and agreed small tasks.","Hafif toparlama, bitki bakımı ve kararlaştırılan küçük işler."
"service.outdoor.title","Hage og sesong","Garden & seasonal tasks","Bahçe ve mevsimlik işler"
"service.outdoor.body","Vanning, feiing og lett arbeid ute.","Watering, sweeping and light outdoor tasks.","Sulama, süpürme ve dışarıdaki hafif işler."
"email.request_received.subject","NAVIAR CARE: testforespørselen er lagret","NAVIAR CARE: test request saved","NAVIAR CARE: test talebi kaydedildi"
"email.request_received.body","Testforespørselen din er lagret. Ingen avtale er bekreftet. Logg inn i Naviar for å se status.","Your test request is saved. No appointment is confirmed. Sign in to Naviar to see its status.","Test talebiniz kaydedildi. Randevu kesinleşmedi. Durumu görmek için Naviar hesabınıza giriş yapın."
